metier,GFE,domaine_ONISEP,rome_code,sous_domaine_ONISEP,description
agent / agente de développement local,"T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,K1802,travail social,"Pour installer des équipements urbains ou défendre l'initiative de résidents auprès du maire, l'agent de développement local est l'homme de la situation. Confronté aux difficultés sociales de la population, il est le lien avec les élus. Il participe à la conception de projets et suit leur mise en oeuvre sur le terrain. Véritable relais, il informe les habitants des nouveaux programmes et les mobilise : sorties éducatives avec les établissements scolaires, prévention de la délinquance avec les services de la police, insertion économique avec les missions locales. Il sait monter des dossiers administratifs et financiers, animer des réunions et pilote parfois des équipes de la vie des quartiers.
Il exerce surtout dans les communes, parfois auprès d'un département ou d'une région. Dynamique, autonome et disponible, ce professionnel est doté d'une forte aptitude au dialogue."
expert-comptable / experte-comptable,"Q : Commerce, gestion, finances","gestion des entreprises, comptabilité",M1202,comptabilité,"Toute entreprise doit avoir une comptabilité juste et sincère. Cela intéresse les services fiscaux, les actionnaires et les banquiers qui souhaitent évaluer l'état de santé des entreprises. Chaque année, l'expert-comptable vérifie la régularité des comptes des entreprises qu'il a en charge. Il établit ou fiabilise la comptabilité de ses clients (artisans, commerçants, professions libérales, petites ou grandes entreprises, associations). Il les conseille également sur leur développement économique, leur fiscalité, les systèmes de gestion informatisés adaptés. Chaque année, il arrête les bilans financiers de ses clients mais ses missions peuvent varier selon les entreprises : taille et type d'activité notamment. Aimer analyser les chiffres et être rigoureux ne suffit pas. Le relationnel est au cœur du métier. En effet, l'expert-comptable est souvent le conseiller privilégié du chef d'entreprise en matière de gestion, de fiscalité, d'organisation, de droit social.
C'est un professionnel de contact qui exerce à titre libéral, en cabinet d'expertise ou avec des associés. On le rencontre également en entreprise sur des postes de cadre financier."
fleuriste,"Q : Commerce, gestion, finances","commerce, marketing, vente",D1209,grande distribution et petits commerces,"Bouquets à offrir, plantes vertes dépolluantes pour assainir une pièce, composition florale pour décorer une table : les occasions ne manquent pas de rendre visite à son fleuriste. Tôt le matin, celui-ci se rend aux halles pour s'approvisionner en fleurs coupées, plantes vertes et arbustes. Il veille à ne pas les abîmer pendant le transport et les stocke dans des conditions idéales de température et de lumière. Des notions de botanique sont alors utiles. Maniant les ciseaux avec dextérité, le fleuriste fait preuve de sens esthétique. Il sait marier les différentes essences, formes et couleurs.
Le fleuriste peut exercer dans une boutique, comme salarié ou comme patron, en libre-service dans une grande surface, sur les marchés ou dans une pépinière. Après plusieurs années comme vendeur de produits horticoles et de jardinage, il peut s'installer à son compte comme artisan, à condition d'avoir les fonds et d'être formé à la gestion."
syndic de copropriété,"Q : Commerce, gestion, finances",banque - assurances - immobilier,C1501,immobilier,"Le syndic de copropriété administre les parties communes (escaliers, ascenseurs, halls, façades) et les équipements collectifs (chaufferie, conduites d'eau communes) d'immeubles d'habitation, de bureaux et de locaux commerciaux pour le compte des copropriétaires. Son rôle : assurer la gestion financière, comptable et juridique de la copropriété. Mandaté par le syndicat des copropriétaires, il conseille sur les travaux à engager (isolation, amiante, plomb, termites, etc.). Chargé d'organiser les assemblées générales des copropriétaires, il exécute les décisions votées et veille à la bonne marche des travaux. Dans un cabinet d'administration de biens immobiliers ou dans une société de gestion immobilière, il a de multiples interlocuteurs : conseil syndical, copropriétaires, entreprises de bâtiment et d'entretien, gardiens, services juridiques, financiers, administrations locales... avec qui il faut fait preuve de patience et de diplomatie. Il est compétent dans les domaines financier, juridique, commercial et dans la technique du bâtiment. Il débute comme assistant ou gestionnaire de syndic de copropriété. Avec de l'expérience, il gère complètement un ou plusieurs immeubles, crée sa propre agence ou devient administrateur de biens. "
"lad-jockey, lad-driver",A : Agriculture,"agriculture, animaux",L1401,sport,"Avant de devenir éventuellement jockey, on est d'abord lad : lad-jockey dans les écuries de courses de galop ; lad-driver pour les courses de trot. Cependant, monter en course et devenir jockey ne deviendra réalité que pour une élite (5 % des lads).
Salarié chez un propriétaire ou chez un entraîneur, le lad commence tôt sa journée. Il partage son temps entre le nettoyage des écuries, les soins, la nourriture et l'entraînement des chevaux pour les courses à venir. Il monte plusieurs heures par jour, ce qui n'est pas à la portée de tout le monde.
Certains lads changent de profession tout en restant dans le monde hippique. Par conséquent, les grandes écuries manquent parfois de lads. Le jockey retenu pour la course est choisi parmi les lads. Il doit satisfaire à des critères de taille (entre 1,50 m et 1,65 m) et de poids (60 kg environ), et gagner les courses !"
restaurateur / restauratrice d'oeuvres d'art,"V : Arts, spectacle, audiovisuel","arts, culture, artisanat",B1302,restauration d'art,"Dorure sur bois, ferronnerie d'art, ébénisterie, art de la céramique ou du bronze : autant de spécialités peu connues et pourtant gratifiantes utilisées par le restaurateur d'oeuvres d'art. Sa mission : redonner vie à des tableaux, des meubles ou des tapisseries abîmés, vieillis ou ternis. En faisant un diagnostic de leur état et en appliquant différents traitements, il leur rend leur aspect initial, tout en respectant leur intégrité physique, esthétique et historique.
Historien, scientifique et artisan : le restaurateur d'art est tout à la fois. Indépendant, salarié ou fonctionnaire, il travaille pour le compte des musées, des antiquaires, des collectivités territoriales ou encore des particuliers."
cadreur / cadreuse,"U : Communication, médias","information-communication, audiovisuel",L1505,journalisme - édition - publicité,"Derrière la caméra ou caméra à l'épaule, le cadreur filme. Technicien de l'image, il travaille sous la direction du réalisateur et du chef opérateur qui définissent l'angle de prise de vues, le cadrage, mais aussi la place et les mouvements de la caméra par rapport au sujet. Le cadreur coordonne les mouvements horizontaux et verticaux de la caméra et ceux des personnages, de façon à restituer le plus exactement possible l'idée du réalisateur. Sa part de création varie en fonction du projet (long ou court-métrage) et du réalisateur. Pour une production importante, il est aidé d'un assistant opérateur, qui nettoie l'objectif et fait la mise au point, avant chaque prise, afin d'obtenir une image parfaitement nette. Le cadreur doit aussi changer les bandes numériques, démonter la caméra et ses accessoires. Il donne les indications de mouvement de la caméra aux machinistes, lorsque celle-ci est posée sur un chariot ou sur une grue (pour faire un travelling, par exemple).
Au cinéma, on est second puis premier assistant avant d'être cadreur. Les plus talentueux deviennent chefs opérateurs."
chargé / chargée d'études média,"U : Communication, médias","commerce, marketing, vente",E1402,journalisme - édition - publicité,"Le chargé d'études média choisit les supports (presse, radio, télé, sites web ou réseaux sociaux) les mieux adaptés à la diffusion d'un message publicitaire, tout en veillant à respecter un certain budget. Très au fait de l'actualité des médias, il se plonge dans l'analyse d'études (audience, consommation, par exemple) pour établir un plan stratégique. Il en suit l'exécution et le modifie s'il ne donne pas les résultats escomptés ou n'atteint pas sa cible.
Il n'existe pas de formation spécifique au médiaplanning. Un diplôme à bac + 5 semble cependant indiqué pour ce métier aux multiples compétences."
assistant / assistante de service social,"R : Santé, social, soins personnels",santé - social - sport,K1201,travail social,"Toujours sur la brèche, l'ASS (assistant de service social) aide les individus et les familles à faire face à des problèmes divers : chômage, alcoolisme, recherche de logement, surendettement, divorce... Pour y parvenir, il ne suffit pas de compatir ; il faut surtout être utile et efficace, ce qui implique de collaborer avec des éducateurs, des magistrats et des médecins...
Savoir écouter les gens et comprendre leur situation est essentiel, qu'on les accueille dans le cadre d'une permanence ou qu'on leur rende visite à domicile. Se tenir au courant des lois et des réglementations fait aussi partie du métier. L'ASS est tenu d'informer ses interlocuteurs de leurs droits, de les aider à lire et à remplir des documents administratifs. Il peut les orienter vers des structures adaptées : caisse d'allocations familiales ou conseil des prud'hommes, par exemple.
Ce métier s'exerce dans le secteur public ou semi-public (organismes de protection sociale, prisons, établissements scolaires, hôpitaux), plus rarement en entreprise. Maturité, sens du contact, santé et équilibre psychologique sont primordiaux."
technicien / technicienne en optique de précision,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",électricité - électronique - robotique,H1210,physique,"Lentilles, miroirs et prismes sont fabriqués sous son contrôle. Son travail peut inclure le montage et le réglage des composants. Évolution des techniques oblige, des machines effectuent une bonne partie de ces tâches de très haute précision. Minutie, dextérité et souci du détail continuent cependant à être attendus du technicien en optique. De même que des connaissances en électronique et en mécanique.
Lieux d'exercice de cette profession : les PME (petites et moyennes entreprises) qui fabriquent des composants élémentaires ou des équipements de mesure et d'analyse, mais aussi les grands groupes. Le secteur de l'optique se développe et recrute des jeunes diplômés pour des postes d'ingénieurs et de techniciens supérieurs. Les débouchés sont également nombreux dans l'armement."
opérateur / opératrice de fabrication de produits alimentaires,K : Production alimentaire,"matières premières, fabrication, industries",H2102,automatismes,"Yaourt, soupe de légumes, pizza, boisson gazeuse... l'opérateur de fabrication de produits alimentaires intervient, manuellement ou sur une machine plus ou moins automatisée, à une ou plusieurs étapes de fabrication d'un produit alimentaire industriel. Selon l'activité de son atelier, il peut : pétrir une pâte, cuire un jambon, fabriquer une sauce, découper du poisson, éplucher des légumes, etc. Le tout est réalisé selon les règles d'hygiène et de qualité sous le contrôle du conducteur de ligne de production. Il est recherché par les PME (petites et moyennes entreprises) du secteur (confiserie, conserverie, laiterie, ateliers de découpe ou de conditionnement, charcuterie ou boulangerie industrielle...) partout en France. Avec de l'expérience, un opérateur de fabrication qui conduit des machines automatisées peut évoluer vers un poste de conducteur de ligne de production. Il peut aussi devenir chef d'équipe ou responsable d'unité de fabrication."
modéliste,"L : Textile, habillement, cuir","arts, culture, artisanat",H1205,textile - habillement,"Maître d'oeuvre de la réalisation d'un vêtement, le modéliste matérialise les idées du styliste. Grâce à lui, le crayonné sur papier prend vie et forme. Avec des épingles et une paire de ciseaux, il commence par placer une toile sur un buste d'atelier. Puis il l'ajuste, la coupe, l'épingle et la drape. Opération très technique, le modelage demande aussi de la sensibilité pour sentir les volumes au bout de ses doigts. Une fois l'habit monté, il faut encore déterminer la place des coutures, des plis, de l'encolure, des emmanchures, des poches et des boutonnières. Le modéliste peut alors tracer le patron, avec les indications nécessaires à la réalisation du prototype (modèle) : lignes de poitrine, de hanche, de carrure, largeurs de couture, droit-fil (sens dans lequel le tissu doit être coupé), etc. Le prototype exécuté, le modéliste peut encore le modifier, faire évoluer les formes, parfois sur ordinateur. Tout cela peut aussi être réalisé par transformation à plat. Le modèle mis au point, sa fabrication est lancée en série.
Technicien et créateur, le modéliste doit faire preuve de goût pour respecter le style de la marque et veiller à ce que le modèle soit techniquement réalisable. Bien connaître les tissus et le matériel de fabrication est essentiel."
charpentier / charpentière métallique,E : Travail des métaux,construction - architecture - travaux publics,H2911,travail des métaux,"Le charpentier métallique participe à la construction d'ouvrages variés : ponts, immeubles, usines, centrales, hangars, passerelles, pylônes... Il intervient soit pour fabriquer des structures (souvent de très grande taille) au sein d'un atelier d'usinage, soit pour assembler des pièces sur un chantier, au sol d'abord, puis en hauteur. Il travaille en équipe. Dans tous les cas, il doit avoir une bonne connaissance des matériaux utilisés (y compris de certains produits toxiques à manipuler avec précaution), respecter des consignes de sécurité strictes, et savoir lire des plans. Il a également des compétences en soudage, découpage et traçage et peut être assisté par ordinateur. Il peut se perfectionner dans différents domaines (soudage, dessin, écoconstruction, etc.) ou évoluer vers l'encadrement."
géothermicien / géothermicienne,"T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,F1105,énergies,"Pour chauffer des logements, des piscines, des serres… le géothermicien exploite la chaleur stockée dans le sous-sol. Pour cela, il procède à des opérations de reconnaissance en mettant en place des forages exploratoires afin d'identifier les caractéristiques hydrogéologiques du site. Il mène aussi des études d'impact environnemental et technico-économique, évalue la capacité de production géothermique. Enfin, il dimensionne les ouvrages souterrains et les équipements associés. Puis il rédige le programme des travaux, sélectionne les entreprises et supervise l'exécution du chantier."
ostéopathe,"R : Santé, social, soins personnels",santé - social - sport,J1408,paramédical,"L'ostéopathe pratique une médecine manuelle, qui traite les problèmes mécaniques au niveau du squelette, des viscères et du crâne, et qui considère que le corps est un tout. Ainsi, le moindre problème musculaire ou intestinal peut provoquer par répercussion un déséquilibre général de l'état de santé. Toute séance commence par un questionnaire durant lequel l'ostéopathe répertorie les troubles du patient et fait un bilan de ses antécédents (opérations, fractures, chocs, maladies). Au-delà du symptôme, il s'intéresse à l'histoire du corps, à des traumatismes plus anciens qui seraient passés inaperçus. Il palpe ensuite le corps, à l'affût de tout signal d'alarme que peuvent percevoir ses mains (chaleur, froid, rigidité, déplacement, douleur) et effectue des poussées, tractions et rotations afin de corriger le défaut. Ses manipulations sont lentes, jamais violentes, et il n'utilise que ses mains. Le toucher est essentiel dans le diagnostic comme dans le traitement. Il a aussi recours à des massages ponctuels et à des étirements. Sa pratique repose sur l'anatomie, la biomécanique, la neurologie, la physiologie et la pathologie. La majorité des ostéopathes exerce en libéral. "
entraîneur sportif / entraîneuse sportive,"S : Hôtellerie, tourisme, loisirs",santé - social - sport,G1204,sport,"Amener au meilleur niveau les sportifs motivés, telle est la mission de l'entraîneur sportif, qu'il travaille auprès d'un athlète de haut niveau ou d'une équipe. Excellent technicien dans une discipline qu'il a souvent lui-même pratiquée, l'entraîneur est d'abord un bon pédagogue. Il élabore un programme d'entrainements basé sur des exercices personnalisés, en s'appuyant sur l'analyse des résultats obtenus et sur l'observation des sportifs. Footballeur évoluant sur le terrain, judoka sur le tatami ou sprinter sur piste, il repère les fautes techniques et tactiques, les mauvais gestes, la fatigue et le découragement. Au sein d'un club de plus ou moins grande envergure ou d'une fédération sportive, l'entraîneur peut être porté en triomphe en cas de victoire, décrié lors d'une défaite. Force de caractère et esprit d'équipe sont indispensables."
régisseur général / régisseuse générale cinéma,"V : Arts, spectacle, audiovisuel","information-communication, audiovisuel",L1509,audiovisuel,"C'est un peu la nounou de l'équipe ! Comédiens, techniciens, réalisateur : le régisseur général cinéma veille au confort de chacun pendant le tournage. Il réserve l'hôtel et le restaurant, approvisionne la table régie, va chercher les comédiens et les accueille. Responsable de l'organisation matérielle et logistique d'une production, il intervient dès la préparation du tournage. Il participe aux repérages, recherche des décors et négocie leur utilisation. Il obtient les autorisations de tournage auprès des autorités municipales, l'accord des propriétaires ou le blocage d'une rue, à grand renfort de courriers. Il réserve aussi des places de stationnement pour les véhicules techniques et surveille l'approvisionnement des matériels nécessaires.
Véritable chef d'orchestre, il est en relation avec tous les participants du tournage : le directeur de production, les techniciens, les comédiens, le réalisateur, etc. Ses qualités ? La débrouillardise, le sens de l'organisation, le goût du contact et du courage, car le métier est prenant. Heureusement, il peut être épaulé par un régisseur adjoint et des stagiaires. Des fonctions qu'il a souvent occupées avant de devenir régisseur général.
Au cinéma, il est fréquent de faire ses débuts comme stagiaire régie. Certains deviennent directeurs de production."
chef de projet démantèlement nucléaire,"T : Environnement, nettoyage, sécurité","armée, sécurité",I1503,sécurité prévention,"Un chef de projet démantèlement nucléaire s'occupe d'arrêter une installation nucléaire de A à Z, en passant par C, comme centrale nucléaire, productrice d'électricité. Ces structures émettent des rayonnements dits radioactifs, dangereux pour l'homme, les êtres vivants et l'environnement. C'est pourquoi, quand le chef de projet travaille à l'arrêt d'une centrale, il doit faire nettoyer les lieux, évacuer les déchets nucléaires et détruire toutes les charges explosives ! 
Le chef de projet met au point un plan de travail pour son équipe d'ingénieurs et de techniciens, appelés opérateurs. Ce chef contrôle toutes les étapes du démantèlement et veille au respect des normes de sécurité : port obligatoire de gants pour manipuler des produits chimiques et thermiques, de vêtements spéciaux, de scaphandres ventilés, de masques et d'autres protections contre les radiations. Si la radioactivité d'une zone est trop élevée, c'est un robot télécommandé qui travaille à la place d'un opérateur. "
chef de projet biodiversité,"T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,A1303,protection des espaces naturels,"Le chef de projet biodiversité cherche à minimiser l'impact négatif de l'activité humaine sur le milieu naturel lors d'un projet d'aménagement (construction d'une autoroute, d'un complexe immobilier, etc.). Il fait d'abord un diagnostic écologique du site. Sous sa direction, plusieurs spécialistes (botanistes, entomologistes, ornithologues...) réalisent des études sur les espèces végétales ou animales présentes. Il synthétise ensuite leurs travaux dans une étude d'impact. Il met alors en place des actions pour préserver l'environnement : faire une fauche à telle date de l'année pour maintenir un papillon, conserver des buissons parce qu'un oiseau y habite, ou concevoir des talus routiers pour permettre aux animaux de passer, et des mesures compensatoires : lorsqu'une prairie disparaît, il la reconstitue ailleurs.
Souvent sur le terrain, il peut exercer en bureau d'études ou en société de conseil, mais aussi dans l'industrie ou encore dans la fonction publique."
ingénieur / ingénieure production dans les biotechnologies,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",sciences,H2502,biologie,"Objectifs : qualité et rendement ! L'ingénieur production coordonne un travail d'équipe pour livrer des produits biotechnologiques conformes au plan de production qu'il a lui-même établi. Pour cela, il met en place des mesures de prévention et de sécurité, contrôle l'état de marche des machines, s'assure de l'approvisionnement en matières premières, etc. Il veille à l'harmonie des tâches, au respect des normes (hygiène, sécurité, qualité...), à l'optimisation des coûts et des délais... Il tente d'améliorer le rendement de la production, en tenant compte des impératifs liés aux spécificités de la fabrication et de la composition des produits concernés (composants biologiques, utilisation d'automates...) tout en identifiant les anomalies éventuelles. Il joue un rôle crucial dans l'agroalimentaire, la pharmacie, la cosmétique... particulièrement soumises aux réglementations des autorités. En biotechnologie marine par exemple, il supervise la production de micro-algues (utiles en cosmétique), produites par des bioréacteurs au sein d'un laboratoire. Meneur d'hommes, il a un très bon relationnel et le sens de l'organisation. Il sait lire des documents techniques en anglais. "
ingénieur concepteur / ingénieure conceptrice en mécanique,F : Mécanique,"informatique, internet",H2502,mécanique (généralités),"L'ingénieur concepteur en mécanique imagine les formes des produits du futur (moteurs électriques, éoliennes, avions...). Ses missions sont stratégiques et, bien souvent, confidentielles. Il conçoit l'architecture d'ensemble d'un produit (moteur, carrosserie...), choisit les solutions techniques et procède à des simulations numériques sur ordinateur, afin de soumettre les pièces à différentes contraintes. À partir de ces calculs théoriques, et des plans proposés par un dessinateur-projeteur, il procède à l'expérimentation physique. Il assure le suivi des essais et des mesures réalisés sur un prototype (moteur, robot, véhicule...), en vérifiant que les performances de celui-ci correspondent aux attentes (système moteur adapté à des conditions extrêmes, meilleure résistance d'un matériau, imperméabilité renforcée de la carrosserie...)."
ingénieur / ingénieure forage,"H : Electricité, énergie, électronique",environnement - énergies - propreté,F1203,énergies,"Comme les hydrocarbures demandent de plus en plus de technicité pour leur exploitation, l'ingénieur forage est très recherché. Il intervient durant la phase d'exploitation d'un gisement de gaz ou de pétrole pour préparer les opérations de forage. Il établit le programme (nombre de puits nécessaires, emplacement, trajectoire des percées, etc.) et le calendrier. Il choisit ensuite les matériels et les techniques les plus adaptés au projet, et suit les opérations en répondant au quotidien à tous les aléas techniques. Il doit en outre prendre en compte la sécurité des hommes et des installations, ainsi que le respect de l'environnement. 
Sa carrière se passe essentiellement à l'étranger, parfois dans des conditions difficiles car certains forages se font dans des régions inhabitées, voire hostiles, ou sur des plates-formes off-shore (en pleine mer). Il doit donc être mobile géographiquement et envisager des changements de poste réguliers pour atteindre, à terme, la direction d'une filiale à l'étranger, par exemple."
chef d'exploitation d'usine d'incinération,"T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,K2306,"déchets, pollutions et risques","L'incinération consiste à brûler à plus de 1 000 degrés les déchets ménagers qui ne peuvent être recyclés. Le chef d'exploitation d'usine d'incinération est l'ingénieur à la manoeuvre. Il dirige les techniciens et s'assure que le traitement par le feu s'effectue selon des règles établies, dans le respect de l'environnement. Il vérifie que les déchets reçus sont conformes (non radioactifs, par exemple) et supervise l'alimentation des fours. Il gère un budget et commercialise l'énergie éventuellement produite par la combustion (source de chaleur ou d'électricité). Il organise la valorisation des mâchefers : les résidus issus de la combustion (métaux, verre, silice, calcaire). Il scrute les résultats des analyses chimiques effectuées chaque jour et donne éventuellement des directives pour améliorer les process. Pas question que les fumées de l'usine polluent l'environnement de manière excessive : la préfecture peut en effet fermer une usine d'incinération qui ne respecterait pas les règles. 
Il travaille dans une entreprise spécialisée dans le traitement des déchets ou dans une collectivité territoriale (le plus souvent une grande ville), qui gère son usine en régie directe."
responsable de laboratoire de recherche,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","lettres, langues - enseignement",K2402,enseignement,"À la tête d'une équipe de chercheurs et de techniciens, le responsable de laboratoire de recherche produit des connaissances et des savoirs nouveaux. Expert dans un domaine (biologie, médecine, agronomie, chimie, démographie, sociologie, etc.), il a acquis assez d'expérience pour pouvoir définir, piloter et valider des travaux scientifiques. Il encadre les chercheurs de son laboratoire et cherche des financements pour les différents programmes qu'il souhaite déployer. Toujours au fait de l'actualité dans son domaine, il gère des projets de A à Z. Il propose un axe d'étude, établit le cahier des charges, voire conçoit des prototypes, des procédés nouveaux ; il évalue aussi l'éventuel retour sur investissement et constitue les dossiers techniques. En tant que responsable, il est interrogé par les politiques, les journalistes, pour expliquer des phénomènes particuliers : évolution des climats, prévention des risques naturels... Il assure par ailleurs des cours dans les universités et les grandes écoles. Les débouchés se trouvent dans les organismes publics et dans les entreprises du secteur industriel qui consacrent une part importante de leur budget aux activités de recherche et développement."
architecte des systèmes d'information,"P : Gestion et traitement de l'information (informatique, statistique, documentation)","information-communication, audiovisuel",M1802,technologies de l'information,"À l'interface de nombreux métiers de l'entreprise, l'architecte des SI (systèmes d'information) conçoit et organise l'ensemble des serveurs, des systèmes d'exploitation, des ordinateurs, des logiciels, etc. afin de les adapter aux besoins des utilisateurs. Il peut travailler dans une grande entreprise où il sera alors spécialisé (en infrastructure, en logiciels...) ou bien exercer en tant que consultant extérieur, à son compte ou pour une ESN (entreprise de services du numérique). Avant de faire des préconisations, l'architecte SI commence par un audit approfondi de la situation. Ensuite, il suit la mise en place et contrôle l'efficacité de son plan jusqu'au bout, en collaboration avec le chef de projet et ses équipes. 
Un esprit de synthèse et des qualités relationnelles sont indispensables, tout comme la maîtrise de l'anglais. Quelques années d'expérience sont demandées avant d'intégrer ce poste, car l'architecte doit avoir une vision globale des systèmes et de ses applications."
ingénieur / ingénieure frigoriste,"H : Electricité, énergie, électronique",environnement - énergies - propreté,H1206,énergies,"L'ingénieur frigoriste conçoit et/ou développe des équipements frigorifiques ou de climatisation. Cet expert technique est un relais indispensable à la fois pour les équipes de techniciens et pour les commerciaux spécialisés dans la chaîne du froid. Il doit définir l'architecture générale des grandes installations et les caractéristiques techniques des matériels. Au programme : études, calculs, définitions techniques, conception et réalisation des équipements, etc. À lui aussi d'assurer la maintenance et la remise aux normes des installations (nouveaux fluides ou systèmes de prévention contre l'effet de serre), et de proposer des solutions pour un meilleur rendement. Il réalise, par exemple, des études de marché pour mieux cibler les attentes du consommateur et des industriels. Il peut tout aussi bien travailler dans l'industrie agroalimentaire que dans les milieux hospitaliers, de l'hôtellerie et de la restauration, etc."
patron pêcheur,"B : Pêche, Mer","agriculture, animaux",A1406,transport,"Le patron pêcheur est un véritable chef d'entreprise qui gère les campagnes et les lieux de pêche, dirige la conduite de l'expédition, surveille les manoeuvres et le traitement des captures. Il exerce des fonctions de capitaine sur les navires armés à la petite pêche, à la pêche côtière et à la pêche au large, ainsi que celles de second sur des navires armés à la grande pêche. Selon ses compétences et son niveau de qualification, il sera un responsable d'équipe ou encore un officier chargé de la conduite du navire ou de la machine, de la pêche et du traitement des captures. Quelle que soit la taille ou la puissance du navire, le patron de pêche doit posséder une solide expérience de la mer, de la pêche et de ses techniques ainsi que du commandement. Technicien et gestionnaire des mers, il sait prendre des décisions rapidement et garder son sang-froid en toutes circonstances."
conducteur/trice de machine onduleuse,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",H3101,automatismes,"Assurer la fabrication du carton ondulé, c'est le rôle du conducteur de machine onduleuse. À l'intérieur d'une usine, il est chargé de piloter une chaîne de production. Il pilote une machine à commandes numériques automatisée, capable d'onduler le papier, de le coller, de le chauffer et de le couper à grande vitesse. Cette machine transforme d'énormes rouleaux de papier en plaques de carton, servant par la suite à fabriquer des emballages. Ce professionnel coordonne le travail de l'équipe d'aide-conducteurs qui travaillent sur la machine dont il est responsable. La plupart du temps, la production dans l'industrie papetière ne s'arrête pas et le travail est organisé en continu, avec plusieurs équipes. Il arrive donc qu'il travaille de nuit. Le conducteur de machine onduleuse obéit à des règles strictes en terme de sécurité. Le respect des normes européennes en matière d'environnement est également crucial. "
fiscaliste,"W : Droit, enseignement, recherche en sciences humaines",économie - droit - politique,K1903,droit public,"Quel régime choisir en cas d'implantation à l'étranger ? Quel statut privilégier pour accompagner une hausse de l'activité ? Pour faire les bons choix et économiser sur leurs impôts, les entreprises ont besoin d'un spécialiste. Au carrefour du droit et de la finance, le fiscaliste les conseille et veille à ce qu'elles soient en conformité avec la loi. Il suit de près les nouvelles lois de finances et adapte les choix fiscaux aux activités et aux projets en cours : une fusion-acquisition, un investissement imprévu…
Pour autant, il n'oublie pas de respecter la législation en vigueur. Objectif : éviter un redressement fiscal. Rigoureux et à l'aise avec les chiffres, le fiscaliste est souvent bilingue. Il travaille principalement dans de grandes entreprises mais peut aussi être recruté par des PME (petites et moyennes entreprises). "
ingénieur électronicien / ingénieure électronicienne des systèmes de la sécurité aérienne (IESSA),"H : Electricité, énergie, électronique",électricité - électronique - robotique,I1102,informatique (généralités),"Sans l'extrême vigilance de l'ingénieur électronicien des systèmes de la sécurité aérienne (Iessa), chaque vol frôlerait l'accident. Cet ingénieur travaille au sein d'un service d'études (pôle innovation, recherche et développement) de l'aviation civile, dans un « centre en route » de la navigation aérienne, dans un centre de maintenance ou dans un aéroport. Il est responsable de l'installation, de l'entretien et du développement des équipements radioélectriques et électroniques (radars, systèmes d'atterrissage automatique, systèmes informatiques) qui assurent la sécurité des transports aériens afin que les avions puissent décoller, voler et atterrir en sécurité, par tous les temps.
Passionné de nouvelles technologies, il a aussi pour tâche d'améliorer les équipements existants. Il assume de lourdes responsabilités, car c'est de son travail que dépend la sécurité des passagers et de l'équipage. Il doit donc gérer son stress et avoir une grande capacité de concentration. Il lui faut aussi maîtriser impérativement l'anglais, qui est la langue de travail dans les tours de contrôle aérien. Ce métier attire de nombreux jeunes. Mais seulement une trentaine d'ingénieurs électroniciens des systèmes de la sécurité aérienne sont formés chaque année à l'Enac (École nationale de l'aviation civile)."
consultant / consultante green IT,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",environnement - énergies - propreté,M1402,informatique (généralités),"Entreprises, collectivités territoriales et administrations cherchent à réduire leur empreinte écologique, générée principalement par leurs systèmes d'informations. Le consultant green IT les aide à adopter des processus écoresponsables en leur procurant méthodologie et outils. Il travaille en interne ou comme consultant extérieur, et peut aller jusqu'à la conception d'outils. Ses missions varient en fonction de la demande exprimée. Un métier émergent plein de promesses, pour lequel il n'existe pas encore de cursus dédié. Une expertise technique complétée par des connaissances en développement durable est appréciée."
responsable de laboratoire de contrôle en biologie,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",sciences,H1501,biologie,"Sous la direction du responsable du laboratoire de contrôle en biologie, des tests sont effectués pour évaluer la qualité et la conformité d'un médicament, d'un produit cosmétique, etc. Avec son équipe, il analyse les matières premières à leur arrivée sur le site industriel, les produits en cours de fabrication et les produits finis. Il garantit la conformité du produit aux normes en vigueur et délivre la précieuse certification "" conforme "". Outre le respect de la qualité, celui des délais et des coûts est au coeur de son activité.
Le développement des nouvelles technologies et l'émergence des biomédicaments nécessitent une mise à jour régulière de ses compétences scientifiques. Il veille aussi à bien connaître la réglementation. Le responsable de laboratoire sait rédiger : il met en forme les protocoles et les procédures des contrôles. Il lit et écrit des documents techniques, le plus souvent en anglais. Il doit respecter un budget. Il intervient également dans l'organisation du laboratoire et doit savoir gérer les ressources humaines (recrutement de collaborateurs, évaluation et formation du personnel). "
